Lexème vedette,Suppr,Ajout,Corr,Fini,Genre ou variation en genre,Patron de variation du genre,Autre patron de variation,Structure morphologique,Formation morphologique,Suffixe,Classe sémantique,Sous-classe sémantique,Définition courante,Définition juridique,Contributeur ou Contributrice
vaticanologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité, Spécialiste qui étudie la politique intérieure et extérieure du Vatican.,,VL
vaticinateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N de Caractérisant,N de Défaut moral,Personne qui prétend annoncer l'avenir.,,VL
vaudevilliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Auteur de vaudeville,,VL
vaurien,,,,,V,-en/-enne,,C,Composition,NP,N de Caractérisant,N de Défaut moral,Chenapan,,VL
veilleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui veille,,VL
véliplanchiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Personne pratiquant la planche à voile.,,VL
vendangeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,"Personne qui récolte les raisins, qui fait la vendange. ",,VL
Vendéen,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé),Région ,Habitant de la Vendée,,VL
vendeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Celui dont la profession est de vendre.," Personne qui cède un bien contre de l'argent, contre paiement. (Fém. venderesse)",VL
Vendômois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Habitant de Vendôme,,VL
vénérateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N d'Agent,,Celui qui vénère,,VL
veneur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Pratique ,Celui qui mène la chasse à courre ou qui y participe.,,VL
Vénézuélien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Pays,Habitant du Venezuela,,VL
vengeur,,,,,V,-eur/-eresse,,C,Dérivation,eur,N d'Agent,,Celui qui venge,,VL
ventriloque,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Pratique ,Personne qui a la faculté d’articuler et de se faire entendre sans remuer les lèvres,,VL
vérificateur,,,,,V,-eur/-rice,,C,Dérivation,ateur,N d'Agent,N de Profession ,"Personne chargée de vérifier la valeur, l'exactitude, la conformité ou le bon fonctionnement d'une chose.",,VL
vestale,,,,,F,NP,,NC,NP,NP,N de Statut,Titre,"Prêtresse de Vesta, qui entretenait le feu sacré et était astreinte à la chasteté",,VL
vétéran,,,,,V,-/-e,,NC,NP,NP,N d’Âge,,Personne âgée,,VL
vétérinaire,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Spécialité,Médecin spécialiste des animaux,,VL
véto,,,,,E,NP,,C,Troncation,NP,N d'Agent,N de Spécialité,Vétérinaire,,VL
vibraphoniste,,,,,E,NP,,C,Dérivation,iste,N d’Âge,N de Pratique ,Joueur de vibraphone,,VL
vice-président,,,,,V,-/-e,,C,Dérivation,NP,N de Statut,Titre,Personne qui seconde ou remplace le président,,VL
videur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne chargée d'expulser les indésirables,,VL
vieillard,,,,,V,-/-e,,C,Dérivation,ard,N d’Âge,,Homme d'un âge avancé,,VL
vigneron,,,,,V,-on/-onne,,C,Dérivation,ron,N d'Agent,N de Profession ,Celui qui cultive la vigne pour en faire du vin.,,VL
villageois,,,,,V,-/-e,,C,Dérivation,ois,N d’Habitant,,Celui qui habite un village,,VL
vingtiémiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Spécialiste de la littérature du vingtième siècle,,VL
violoniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Personne qui joue du violon,,VL
Vionnais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Habitant de Vion,,VL
visiteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui va voir quelqu'un ou quelque chose,,VL
vitrailliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui entretient des vitraux et qui en crée. ,,VL
vitrier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,Marchand de verre à vitre,,VL
voisin,,,,,V,-/-e,,NC,NP,NP,N Relationnel ,Société,Personne qui habite près d'une autre,,VL
voiturier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,Employé chargé de garer les voitures des clients ,"Transporteur par fer, route ou eau tant pour les marchandises que pour les voyageurs",VL
volcanologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Scientifique qui étudie les volcans et phénomènes volcaniques,,VL
voleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral," Personne qui s'empare, qui a tendance à s'emparer de ce qui appartient à autrui",,VL
volleyeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Joueur de volley-ball,,VL
Vosgien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé),Région ,Habitant des Vosges,,VL
voyageur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Celui qui voyage,,VL
voyeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,Personne qui éprouve du plaisir à regarder des scènes érotiques ou intimes.,,VL
voyou,,,,,V,-ou/-oute,,NC,NP,NP,N de Caractérisant,N de Défaut moral, Homme sans scrupules ni moralité.,,VL
wagonnier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui manœuvre les wagons,,VM
Wallon,,,,,V,-on/-onne,,NC,NP,NP,N de Population (Gentilé),,Personne qui habite la Wallonie,,VM
Wambrécitain,,,,,V,Autre,,C,Dérivation,ain,N de Population (Gentilé),,Personne habitant à Wambrechies,,VM
Wandrégésilien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé),,Personne qui habite à Saint-Wandrille-Rançon,,VM
Warcquin,,,,,V,-/-e,,C,Dérivation,in,N de Population (Gentilé),,Personne qui habite à Warcq,,VM
Warmerivillois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),,Personne qui habite à Warmeriville,,VM
Washingtonien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé),,Personne qui habite à Washington,,VM
Watronvillois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),,Personne qui habite à Watronville,,VM
Wattignien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé),,Personne qui habite Wattignies,,VM
wattman,,,,,V,Autre,wattman/wattwoman,C,Emprunt,NP,N d'Agent,N de Profession ,Personne qui conduit un tramway,,VM
Wattrelosien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé),,Personne qui habite à Wattrelos,,VM
Wavrillard,,,,,V,-/-e,,C,Dérivation,ard,N de Population (Gentilé),,Personne qui habite à Wavrille,,VM
Wavrinois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),,Personne qui habite à Wavrin,,VM
webdesigner,,,,,E,NP,,P,NP,NP,N d'Agent,N de Profession ,"Personne qui fait du webdesign, qui crée des sites web",,VM
webmarketer,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,"Personne chargée d'élaborer une stratégie de communication internet et d'accroitre, grâce à cette mission, les ventes d'une entreprise",,VM
webmaster,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Personne chargée de l'administration d'un site internet,,VM
webmaster éditorial,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,"Personne qui conçoit, gère, actualise et anime des sites ou des services en ligne",,VM
webplanneur,,,,,V,-eur/-euse,,C,Composition,NP,N d'Agent,N de Profession ,Personne responsable de la programmation des campagnes publicitaires sur Internet,,VM
westerniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui crée des westerns,,VM
Wézien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé),,Personne qui habite à Saint-Witz,,VM
whisteur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui joue au whist,,VM
Wignicourtois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),,Personne qui habite à Wignicourt,,VM
Winnipeguien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé),,Personne qui habite à Winnipeg,,VM
Wissoussien,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé),,Personne habitant à Wissous,,VM
xanthoderme,,,,,E,NP,,C,Composition,NP,N de Caractérisant,,Personne qui a la peau jaune ,,VM
Xertinois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),,Personne qui habite à Xertigny,,VM
xylophoniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N d’Interprète,Personne qui joue du xylophone,,VM
Yonnais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite ou qui est originaire de La Roche-sur-Yon.,,MH
Yougoslave,,,,,E,NP,,NC,NP,NP,N de Population (Gentilé), Pays,Personne qui habite ou qui est originaire de la Yougoslavie ou du sud des Balkans.,,MH
Zacharien,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé),,Personne qui habite à Saint-Zacharie,,VM
Zaïrois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),,Personne qui habite au Zaïre,,VM
Zambien,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé),,Personne qui habite en Zambie,,VM
zappeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui passe rapidement d'une chose à une autre,,VM
Zélandais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé),,Personne qui habite en Zélande,,VM
zélateur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,,"Personne qui défend avec zèle une cause, une personne",,VM
zélote,,,,,E,NP,,NC,NP,NP,N d’Adepte/de Partisan,,Personne qui fait preuve d'un zèle excessif dans ses activités ou ses idées,,VM
zicavais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé),,Personne qui habite à Zicavo,,VM
zig,,,,,M,NP,,NC,NP,NP,N Général,,"Individu, type",,VM
Zimbabwéen,,,,,V,-/-e,,C,Dérivation,en,N de Population (Gentilé),,Personne qui habite au Zimbabwe,,VM
zincographe,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Graveur sur zinc,,VM
zincotypiste,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui utilise le procédé de zincotypie,,VM
zoanthrope,,,,,E,NP,,C,Composition,NP,N de Caractérisant,,Personne atteinte de zoanthropie,,VM
zonard,,,,,V,-/-e,,C,Dérivation,ard,N d’Habitant,,Habitant d'une zone,,VM
zonier,,,,,V,-er/-ère,,C,Dérivation,ier,N d’Habitant,,Habitant d'une zone,,VM
Zonzais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé),,Personne qui habite à Zonza,,VM
zoologiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Spécialiste de la zoologie,,VM
zoologue,,,,,E,NP,,P,Composition,NP,N d'Agent,N de Spécialité,Spécialiste de la zoologie,,VM
zoopsychologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Spécialiste de la psychologie animale,,VM
zootechnicien,,,,,V,-en/-enne,,C,Composition,NP,N d'Agent,N de Spécialité,Spécialiste de la zootechnie,,VM
zoothérapeute,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Médecin vétérinaire,,VM
Zougois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),,Personne qui habite à Zoug,,VM
zupéen,,,,,V,-en/-enne,,C,Dérivation,en,N d’Habitant,,Personne qui habite une Z.U.P.,,VM
Zurichois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé),,Personne qui habite à Zurich,,VM
zwanzeur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Créateur,Personne qui fait des blagues,,VM
